,CustomerID,Recency,Frequency,Monetary,cluster_label,Recency_log,Frequency_log,Monetary_log
1097,2611054500206B3,640,3,112000,0,6.46302945692067,1.3862943611198906,11.626263078808801
1098,2611054500207B4,640,15,155110,0,6.46302945692067,2.772588722239781,11.9518962686356
1099,2611056000102B3,640,9,355700,0,6.46302945692067,2.302585092994046,12.78184576929048
1100,2611056000102B4,640,252,1569520,1,6.46302945692067,5.53338948872752,14.266281035231977
1101,2611056000102B5,640,1,4900,3,6.46302945692067,0.6931471805599453,8.497194544909547
1102,2611056000102B6,640,5,454000,0,6.46302945692067,1.791759469228055,13.025854679664231
1103,2611056000103B1,640,5,72000,0,6.46302945692067,1.791759469228055,11.184435286790631
1104,2611056000103B3,640,8,3639500,2,6.46302945692067,2.1972245773362196,15.107357142303428
1105,2611056000103B6,640,2,35000,3,6.46302945692067,1.0986122886681098,10.463131911491967
1106,2611056000103B8,640,1,13000,3,6.46302945692067,0.6931471805599453,9.472781556562168
1107,2611056000104B1,640,15,329500,2,6.46302945692067,2.772588722239781,12.70533466782146
1108,2611056000105B1,640,17,365600,2,6.46302945692067,2.8903717578961645,12.80929785378815
1109,2611056000105B5,640,4,289400,0,6.46302945692067,1.6094379124341003,12.575568548598568
1110,2611056000106B5,640,33,1120700,2,6.46302945692067,3.5263605246161616,13.929464940339177
1111,2611056000106B6,640,4,145000,0,6.46302945692067,1.6094379124341003,11.884495917930655
1112,2611056000107B3,640,121,3799100,1,6.46302945692067,4.804021044733257,15.150275017760032
1113,2611056000202B4,640,16,310500,2,6.46302945692067,2.833213344056216,12.6459424009624
1114,2611056000203B3,640,248,4419990,1,6.46302945692067,5.517452896464707,15.301648217852712
1115,2611056000203B6,640,38,734560,2,6.46302945692067,3.6635616461296463,13.507028320841304
1116,2611056000204B1,640,2,35000,3,6.46302945692067,1.0986122886681098,10.463131911491967
1117,2611056000204B3,640,4,106600,0,6.46302945692067,1.6094379124341003,11.576848171532921
1118,2611056000204B7,640,25,213200,2,6.46302945692067,3.258096538021482,12.269990661694345
1119,2611056000205B1,640,5,755800,0,6.46302945692067,1.791759469228055,13.535533392998
1120,2611056000205B2,640,1,80000,3,6.46302945692067,0.6931471805599453,11.289794413577894
1121,2611056000205B3,640,326,4890050,1,6.46302945692067,5.7899601708972535,15.40271329084452
1122,2611056000205B4,640,730,11268635,1,6.46302945692067,6.594413459749778,16.237533849410045
1123,2611056000205B5,640,23,1203900,2,6.46302945692067,3.1780538303479458,14.001077675556546
1124,2611056000206B3,640,288,10659140,1,6.46302945692067,5.666426688112432,16.18192839184159
1125,2611056000207B4,640,33,267230,2,6.46302945692067,3.5263605246161616,12.495868731879137
1126,2611056000207B5,640,20,383500,2,6.46302945692067,3.044522437723423,12.857097507347978
1127,2611056000207B6,640,48,3741000,1,6.46302945692067,3.8918202981106265,15.134863780638455
1128,2614057000102B4,640,20,118150,0,6.46302945692067,3.044522437723423,11.679718746396418
1129,2614057000103B3,640,1,30000,3,6.46302945692067,0.6931471805599453,10.308985993422082
1130,2614057000105B1,640,3,69000,0,6.46302945692067,1.3862943611198906,11.141876276228
1131,2614057000105B5,640,1,200000,0,6.46302945692067,0.6931471805599453,12.206077645517674
1132,2614057000106B5,640,128,8344130,1,6.46302945692067,4.859812404361672,15.937068975443626
1133,2614057000107B3,640,20,591500,2,6.46302945692067,3.044522437723423,13.290418653016225
1134,2614057000203B1,640,10,603000,2,6.46302945692067,2.3978952727983707,13.30967413408274
1135,2614057000203B3,640,56,689000,2,6.46302945692067,4.04305126783455,13.442998001373553
1136,2614057000204B3,640,21,256700,2,6.46302945692067,3.091042453358316,12.455667262449618
1137,2614057000205B3,640,12,100100,0,6.46302945692067,2.5649493574615367,11.513934955263402
1138,2614057000206B3,640,158,4187500,1,6.46302945692067,5.0689042022202315,15.2476146939214
1139,2614057000207B4,640,6,47920,0,6.46302945692067,1.9459101490553132,10.777309100685118
1140,2614065000103B3,640,1,20000,3,6.46302945692067,0.6931471805599453,9.90353755128617
1141,2614065000105B1,640,2,14200,3,6.46302945692067,1.0986122886681098,9.561067663645012
1142,2614065000106B3,640,20,807500,2,6.46302945692067,3.044522437723423,13.601699572468275
1143,2614065000106B7,640,61,2580885,1,6.46302945692067,4.127134385045092,14.763643308798503
1144,2614065000107B5,640,1,4300,3,6.46302945692067,0.6931471805599453,8.366602832783736
